ProfileID_i,_id,daytype,hour,kw_mean,kw_std,month,total_hours_sum,valid_hours,valid_obs_ratio
3,1,Weekday,0,0.22603971173198387,0.12370742742308702,1,22,22,1.0
3,2,Weekday,1,0.5662510426937054,0.7125928631440754,1,22,22,1.0
3,3,Weekday,2,0.46904225741962446,0.467982434046501,1,22,22,1.0
3,4,Weekday,3,0.7565816694456895,1.051562663995167,1,22,22,1.0
3,5,Weekday,4,0.9513757899204339,0.8118303462103479,1,22,22,1.0
3,6,Weekday,5,0.5037986681053135,0.42433966661310696,1,22,22,1.0
3,7,Weekday,6,0.5708865281601136,0.48403295416229053,1,22,22,1.0
3,8,Weekday,7,0.6955101092995091,0.7894265105382036,1,22,22,1.0
3,9,Weekday,8,0.4857302128545598,0.45411468505038366,1,22,22,1.0
3,10,Weekday,9,0.43138596545542546,0.4705518192322236,1,22,22,1.0
3,11,Weekday,10,0.46691196713409905,0.3842226801305906,1,22,22,1.0
3,12,Weekday,11,0.41975568927073437,0.25780729281097403,1,22,22,1.0
3,13,Weekday,12,0.6141247823094473,0.8588972151474688,1,22,22,1.0
3,14,Weekday,13,0.8519730503145094,0.9540118700125341,1,22,22,1.0
3,15,Weekday,14,0.8968472511854021,0.817952055023548,1,22,22,1.0
3,16,Weekday,15,1.0330053587758254,0.6474265566782277,1,22,21,0.9545454545454546
3,17,Weekday,16,1.7731140392024167,1.192140974955901,1,22,21,0.9545454545454546
3,18,Weekday,17,1.2525375756827615,0.8827754939358321,1,22,21,0.9545454545454546
3,19,Weekday,18,1.2157262865630583,1.1031933154536402,1,22,21,0.9545454545454546
3,20,Weekday,19,0.8480068206415406,0.5939757092072809,1,22,22,1.0
3,21,Weekday,20,0.6533681574160117,0.5972194337847729,1,22,22,1.0
3,22,Weekday,21,0.3846863934474937,0.3129235464282953,1,22,22,1.0
3,23,Weekday,22,0.34430194131622155,0.5781002654252982,1,22,22,1.0
3,24,Weekday,23,0.2747259113536175,0.2677236643224743,1,22,22,1.0
3,25,Saturday,0,0.29555046786321437,0.12130676274428001,1,5,5,1.0
3,26,Saturday,1,0.32191561321306034,0.21595244615020617,1,5,5,1.0
3,27,Saturday,2,0.2958419129424297,0.0812275690338075,1,5,5,1.0
3,28,Saturday,3,1.1532247405161828,1.5238969230379222,1,5,5,1.0
3,29,Saturday,4,1.012738092981534,0.9479021277828348,1,5,5,1.0
3,30,Saturday,5,0.8408179205014866,0.6784370405259447,1,5,5,1.0
3,31,Saturday,6,0.7262008191884846,0.28000755798518173,1,5,5,1.0
3,32,Saturday,7,0.5606159650687637,0.26045839840708834,1,5,5,1.0
3,33,Saturday,8,1.0017230982140326,0.9816283910928671,1,5,5,1.0
3,34,Saturday,9,0.8814490856368191,0.9202304425508729,1,5,5,1.0
3,35,Saturday,10,0.3600751729689135,0.19481808553824942,1,5,5,1.0
3,36,Saturday,11,0.45222323721277286,0.5540107716699392,1,5,5,1.0
3,37,Saturday,12,0.32012456764905484,0.15992598605448208,1,5,5,1.0
3,38,Saturday,13,0.41267444309477963,0.27571906191743456,1,5,5,1.0
3,39,Saturday,14,0.6344567320709726,0.6821586073355572,1,5,5,1.0
3,40,Saturday,15,0.8944607884562235,0.8690569146710309,1,5,5,1.0
3,41,Saturday,16,0.88070980772129,0.7094358880588619,1,5,5,1.0
3,42,Saturday,17,0.5672934036673333,0.40174941411644405,1,5,5,1.0
3,43,Saturday,18,0.5430051666790543,0.36456538750193207,1,5,5,1.0
3,44,Saturday,19,0.4775659958822159,0.2519542578237705,1,5,5,1.0
3,45,Saturday,20,0.44558285594609154,0.10774761123421953,1,5,5,1.0
3,46,Saturday,21,0.4448157496019037,0.32518791783125645,1,5,5,1.0
3,47,Saturday,22,0.3952019280747025,0.32250887511450366,1,5,5,1.0
3,48,Saturday,23,0.24470561496193763,0.11899354331005627,1,5,5,1.0
3,49,Sunday,0,0.21671449634840748,0.11316568403259937,1,4,4,1.0
3,50,Sunday,1,0.421673475728239,0.43518216827517686,1,4,4,1.0
3,51,Sunday,2,0.4094553236902081,0.3027230151381463,1,4,4,1.0
3,52,Sunday,3,0.32376678654403357,0.03919153652911231,1,4,4,1.0
3,53,Sunday,4,1.8083546976040654,0.6575391115145499,1,4,4,1.0
3,54,Sunday,5,1.1039313048054782,0.4996370176458065,1,4,4,1.0
3,55,Sunday,6,0.6268998459334048,0.6748376244196184,1,4,4,1.0
3,56,Sunday,7,0.7724191500163826,1.0833186323668496,1,4,4,1.0
3,57,Sunday,8,0.6826039920594623,0.8998323648008308,1,4,4,1.0
3,58,Sunday,9,0.4028281906970017,0.2319881031510543,1,4,4,1.0
3,59,Sunday,10,0.2037317175142919,0.05741485507420492,1,4,4,1.0
3,60,Sunday,11,0.22730175226542643,0.10151594433157414,1,4,4,1.0
3,61,Sunday,12,0.6161737769438789,0.678535557878466,1,4,4,1.0
3,62,Sunday,13,0.35319291627996363,0.2145977857752611,1,4,4,1.0
3,63,Sunday,14,0.5210647585618225,0.4880046808058476,1,4,4,1.0
3,64,Sunday,15,0.7040609996625562,0.3474251624820909,1,4,4,1.0
3,65,Sunday,16,1.5625996251499936,1.1014225694668178,1,4,4,1.0
3,66,Sunday,17,1.2136064234013404,0.36109927484804,1,4,4,1.0
3,67,Sunday,18,1.6733469135488153,0.993840341042135,1,4,4,1.0
3,68,Sunday,19,2.271760089338403,1.6333753666527868,1,4,4,1.0
3,69,Sunday,20,0.7522753131145676,0.37174178835620714,1,4,4,1.0
3,70,Sunday,21,0.20059798578584537,0.05521237898335987,1,4,4,1.0
3,71,Sunday,22,0.32397123088859725,0.2977969544829563,1,4,4,1.0
3,72,Sunday,23,0.1640363430466778,0.015773595005168974,1,4,4,1.0
60,44414,Sunday,13,,,1,2,,
3,73,Weekday,0,0.31502636625945635,0.2334993167238892,2,20,20,1.0
3,74,Weekday,1,0.2676471458862443,0.16831015762490728,2,20,20,1.0
3,75,Weekday,2,0.20720613792652376,0.1277056839071157,2,20,20,1.0
3,76,Weekday,3,0.18260107007020768,0.05895803910153335,2,20,20,1.0
3,77,Weekday,4,0.2321209660683868,0.2062623665859644,2,20,20,1.0
3,78,Weekday,5,0.22516527517233595,0.1829496544883218,2,20,20,1.0
3,79,Weekday,6,0.32991869427489356,0.24286944881071207,2,20,20,1.0
3,80,Weekday,7,1.136718916241257,0.9451133400526446,2,20,20,1.0
3,81,Weekday,8,0.8602890444284872,0.5458301889075324,2,20,20,1.0
3,82,Weekday,9,0.471106447439413,0.4519289153539735,2,20,20,1.0
3,83,Weekday,10,0.34394253560994736,0.2946216318275224,2,20,20,1.0
3,84,Weekday,11,0.21354094612595334,0.10164435616659691,2,20,20,1.0
3,85,Weekday,12,0.2791853027929099,0.24334646729643286,2,20,20,1.0
3,86,Weekday,13,0.4578337686492985,0.4658925504819553,2,20,20,1.0
3,87,Weekday,14,0.32848995847085216,0.475467327390582,2,20,20,1.0
3,88,Weekday,15,0.33104910885325334,0.3293071991155667,2,20,20,1.0
3,89,Weekday,16,0.33214158242465097,0.23215835563823045,2,20,20,1.0
3,90,Weekday,17,0.731519168413368,0.8277191138006034,2,20,20,1.0
3,91,Weekday,18,0.843978202738686,0.8879389857230006,2,20,20,1.0
3,92,Weekday,19,0.9968933374420406,0.5998027876579668,2,20,20,1.0
3,93,Weekday,20,1.7919187643206425,0.759578146540445,2,20,20,1.0
3,94,Weekday,21,2.1569934683657683,0.984514193416716,2,20,20,1.0
3,95,Weekday,22,1.2052261159598225,0.6479174373311419,2,20,20,1.0
3,96,Weekday,23,0.7087604967104442,0.5670517083602246,2,20,20,1.0
3,97,Saturday,0,0.2566681109231884,0.11981418638330747,2,4,4,1.0
3,98,Saturday,1,0.15565684138862526,0.02074446114208057,2,4,4,1.0
3,99,Saturday,2,0.16603103583269915,0.03418346883161476,2,4,4,1.0
